timestamp,label,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2.920896,Stairs Up,0.078598,-0.369812,-0.650833,-0.100514,0.428828,0.176895
2.94113,Stairs Up,0.082382,-0.40892,-0.634384,-0.194371,0.427217,0.237044
2.965048,Stairs Up,0.08342,-0.442703,-0.636475,-0.228236,0.463539,0.215817
2.983309,Stairs Up,0.103409,-0.453354,-0.631332,-0.164042,0.386445,0.177177
3.001121,Stairs Up,0.117325,-0.439972,-0.635132,-0.04317,0.245728,0.180057
3.020911,Stairs Up,0.131012,-0.473068,-0.652756,0.067038,0.116054,0.251129
3.041136,Stairs Up,0.141647,-0.573654,-0.686386,0.063727,0.023865,0.284696
3.064789,Stairs Up,0.10408,-0.617371,-0.798599,0.038135,0.047658,0.191121
3.083981,Stairs Up,0.092117,-0.582001,-0.899719,0.180242,0.120674,0.101807
3.101128,Stairs Up,0.113678,-0.573456,-0.94873,0.377465,0.071017,0.140331
3.120936,Stairs Up,0.075684,-0.58754,-0.9841,0.541196,0.117849,0.13619
3.14111,Stairs Up,0.083817,-0.587219,-0.991257,0.636396,0.225182,0.044853
3.165002,Stairs Up,0.128403,-0.558105,-0.947296,0.683195,0.233869,-0.000223
3.182595,Stairs Up,0.134048,-0.546875,-0.923019,0.65897,0.136264,-0.013442
3.201127,Stairs Up,0.112671,-0.547638,-0.951263,0.549445,0.094883,0.001837
3.220962,Stairs Up,0.092575,-0.5448,-0.975204,0.422005,0.156745,0.0228
3.241105,Stairs Up,0.122437,-0.547958,-0.953186,0.397038,0.095475,0.090149
3.264851,Stairs Up,0.143539,-0.535202,-0.90065,0.527346,-0.099485,0.22011
3.281898,Stairs Up,0.11554,-0.566467,-0.839539,0.600292,-0.487293,0.363887
3.301191,Stairs Up,0.140259,-0.677505,-0.92041,0.582567,-0.242658,0.631869
3.320981,Stairs Up,0.125412,-0.720474,-0.726852,0.582567,-0.242658,0.631869
3.341169,Stairs Up,-0.022003,-0.724747,-0.723434,-0.346785,-0.335437,0.472521
3.365865,Stairs Up,-0.18985,-0.631454,-0.879074,-0.346785,-0.335437,0.472521
3.383481,Stairs Up,-0.203781,-0.580704,-1.044357,-0.319336,-0.311939,0.322099
3.401071,Stairs Up,-0.210342,-0.533203,-1.099823,0.336578,-0.33338,0.050426
3.421053,Stairs Up,-0.257416,-0.491379,-0.960663,0.001463,-0.265754,-0.200193
3.441314,Stairs Up,-0.295395,-0.476181,-0.825012,-0.475743,0.071558,-0.412111
3.465015,Stairs Up,-0.248352,-0.433014,-0.828644,-0.475743,0.071558,-0.412111
3.481863,Stairs Up,-0.09938,-0.424988,-0.821396,-0.621153,0.178709,-0.407726
3.501092,Stairs Up,-0.044388,-0.428482,-0.793411,-0.234337,-0.225911,-0.393587
3.520996,Stairs Up,-0.093979,-0.463928,-0.792206,-0.032493,-0.310987,-0.55471
3.540868,Stairs Up,-0.112839,-0.465286,-0.77655,0.079875,-0.345057,-0.584802
